text,id,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
RT @Curious_Robe: Oy! The Randomizer choices!! #TournamentOfChampions,1777127146567225683,2024-04-08T00:11:43.000Z,['1777127146567225683'],1,0,0,0,0,1
"RT @a21schizoidman: This new randomizer category is evil

#TournamentOfChampions",1777127121640415500,2024-04-08T00:11:37.000Z,['1777127121640415500'],1,0,0,0,0,1
RT @VinnyHardy: This Final Four is loaded! #TournamentOfChampions @FoodNetwork,1777127099402190908,2024-04-08T00:11:32.000Z,['1777127099402190908'],2,0,0,0,0,1
The Randomizer though 🤯😬 Ooooooh baby. #TournamentOfChampions https://t.co/wTPjrrDtEg,1777126832640278954,2024-04-08T00:10:28.000Z,['1777126832640278954'],3,1,46,2,0,16902
Our first semifinal battle is underway with @jettila facing off against @antonialofaso. These two have been friends for 15 years. They’ve competed against each other multiple times. And they’re both dead-set on THIS being the year they finally take the win. #TournamentOfChampions https://t.co/yTerlfigOb,1777126749102379340,2024-04-08T00:10:09.000Z,['1777126749102379340'],7,4,65,1,1,13611
RT @NJStud3: Battle of the West is up- epic round about to go down @jettila @chefantonia #TournamentOfChampions,1777126244472988104,2024-04-08T00:08:08.000Z,['1777126244472988104'],2,0,0,0,0,2
RT @Momma_JJ: Ok I can't choose tonight I love all 4 of these chefs! Ready to see some serious cooking tonight @ManeetChauhan @jettila @Che…,1777126143893688470,2024-04-08T00:07:44.000Z,['1777126143893688470'],2,0,0,0,0,2
"RT @KellyOB1977: #TournamentOfChampions 
So excited, love all these final 4 chefs!! @FoodNetwork",1777126109844304004,2024-04-08T00:07:36.000Z,['1777126109844304004'],1,0,0,0,0,2
Let’s hear it. Who do YOU think will be crowned the TOC V champion tonight?? #TournamentOfChampions,1777125968525594948,2024-04-08T00:07:02.000Z,['1777125968525594948'],2,8,14,0,0,14506
"RT @LisaF713: @jettila v. @chefantonia - I love you both. I'm going to be thrilled for whoever wins &amp; cry for the one who doesn't. 
#Tourna…",1777125486952329505,2024-04-08T00:05:08.000Z,['1777125486952329505'],1,0,0,0,0,1
"RT @egreen4325: It stinks that there has to be a loser tonight between @jettila and @chefantonia on #TournamentOfChampions Ugh, that sucks.",1777125449203613876,2024-04-08T00:04:59.000Z,['1777125449203613876'],2,0,0,0,0,1
The final four are here and ready. to. go. 🔪 #TournamentOfChampions https://t.co/YfkorpadqO,1777125043404771528,2024-04-08T00:03:22.000Z,['1777125043404771528'],3,2,63,1,2,13562
Here we gooooooooooo! The *finale* of @guyfieri’s #TournamentOfChampions starts NOW and we’re here live-tweeting! RT if you’re watching with us 🔥 https://t.co/T8Lry9cmc8,1777124411436306773,2024-04-08T00:00:51.000Z,['1777124411436306773'],22,9,175,5,1,15554
"🔥 This is IT! 🔥 The finale of @guyfieri's #TournamentOfChampions starts tonight @ 8|7c! The stage is set for two semifinal showdowns then one epic finale face-off 🔪 At the end of the night, one person will be named the TOC V Champion and earn a whopping $150,000 🏆💰 https://t.co/3MrOcrQvao",1777120420543517160,2024-04-07T23:45:00.000Z,['1777120420543517160'],9,3,84,4,1,28363
"RT @jettila: Let's do this Team Tila! T-minus two hours until the Finale of #TournamentOfChampions ... first up, the Final Four. See you so…",1777119806505799932,2024-04-07T23:42:33.000Z,['1777119806505799932'],30,0,0,0,0,0
RT @SimonMajumdar: Do not miss the finale of season 5 of #TournamentOfChampions tonight on @foodnetwork and streaming on @streamonmax. It’s…,1777119739921276972,2024-04-07T23:42:17.000Z,['1777119739921276972'],26,0,0,0,0,0
RT @GuyFieri: CAN’T WAIT!!! #TournamentOfChampions,1777119716063990044,2024-04-07T23:42:12.000Z,['1777119716063990044'],16,0,0,0,0,0
"With two-toned, jewel-toned and pastel options, we've got the perfect glass for every occasion 😍🍸🥃🍷https://t.co/WMjglhfSRG",1777112870909628630,2024-04-07T23:15:00.000Z,['1777112870909628630'],2,1,7,0,2,13904
"Surprise! 🥳 Before the series premiere, the bite club (@noahcappe, @jettila + @tiffanifaison) will taste their way through the local food scene in Davis - you don’t want to miss it! 😉

Tune in TONIGHT @ 10|9c for an exclusive look at an all-new episode of #BestBiteInTown!! https://t.co/LfOxnT7MjH",1777097771289350294,2024-04-07T22:15:00.000Z,['1777097771289350294'],11,2,74,0,1,18066
".@JoesStogie puts a seafood twist on Sunday gravy and @GuyFieri says it's ""FLAVOR CITY!"" 🦀🍝

Watch #DDD Fridays at 9|8c and @StreamOnMax! #StreamOnMax

Get the recipe: https://t.co/fM389c0oPB https://t.co/MJ4l9wqutF",1777067572305023111,2024-04-07T20:15:00.000Z,['1777067572305023111'],6,0,46,0,5,19257
"The #SpringBakingChampionship crew is going international with this ice cream taste test! 🍨

Catch @JessePalmerTV, @duffgoldman, @kardea_brown + @nancyfullerco TOMORROW @ 8|7c! https://t.co/Cmd09vVoG7",1777056248694817217,2024-04-07T19:30:00.000Z,['1777056248694817217'],6,4,55,0,0,16716
"In the ultimate French Toast battle, @aartipaarti, @weelicious + @chefdphillips will cook their hearts out OR face the risk of going home empty-handed 🫣 Can you tell which chef made which dish? 👀

All-new #WildcardKitchen &gt; Tuesday @ 9|8c https://t.co/bHUE7L801p",1777029823678079114,2024-04-07T17:45:00.000Z,['1777029823678079114'],4,4,57,1,2,19207
Recipe of the Day: Slow-Cooker Pork Carnitas 🤩https://t.co/ylEANwJJMm,1777007174650356017,2024-04-07T16:15:00.000Z,['1777007174650356017'],5,2,32,1,8,20034
"Learn how to make Corn Cheese, a staple Korean BBQ side dish, in under 20 minutes!! 🌽🧀

For more of @mollyyeh’s comfort recipes, tune in to an all-new #GirlMeetsFarm NEXT @ 11a|10c!

Get the recipe: https://t.co/INz6zN4bj0 https://t.co/sOZFxE2yog",1776984525224177901,2024-04-07T14:45:00.000Z,['1776984525224177901'],7,2,60,2,13,19236
"""That's a good cookie."" It's as simple as that. You HAVE to try @duffgoldman's Black and White Cookies 😍

Watch #SpringBakingChampionship, TOMORROW @ 8|7c! https://t.co/Ny7x2rMxdd",1776976975288000806,2024-04-07T14:15:00.000Z,['1776976975288000806'],10,4,89,0,15,20027
"📣 IT'S FINALE SUNDAY! 🏆🔥

@guyfieri's #TournamentOfChampions wraps up *tonight* @ 8|7c and one of these chefs — @chefantonia, Chef Britt Rescigno, @chefjettila or @chefmaneetchauhan — will be named the TOC V champion 🙌 https://t.co/dREDkQUuXg",1776954326457729516,2024-04-07T12:45:00.000Z,['1776954326457729516'],32,68,408,14,6,149428
"Level up your fried chicken game with @GuyFieri’s Fried Chicken with Dill Salt recipe!! 😋🍗

Catch @guyfieri on the series premiere of #BestBiteInTown, Friday @ 9|8c 🍴

Get the recipe: https://t.co/LTfkJ8tWwy https://t.co/5iNOFhoKnH",1776946776429547672,2024-04-07T12:15:00.000Z,['1776946776429547672'],30,5,194,0,38,51771
"Take your pulled pork sandwich to the next level with @aartipaarti's sweet and savory mango barbecue sauce! 😍 

Catch @aartipaarti on an all-new episode of #WildcardKitchen &gt; Tuesday @ 9|8c.

Get the recipe: https://t.co/AnW6neKqLt https://t.co/9C0Hn4qv0r",1776931676922196270,2024-04-07T11:15:00.000Z,['1776931676922196270'],23,3,128,1,24,23640
"REMEMBER: You don't need a backyard or patio to grill (!!!) ♨️
https://t.co/zA4LSbzxne",1776916577385853155,2024-04-07T10:15:00.000Z,['1776916577385853155'],0,0,9,0,1,17646
"Bringing you the best coffee, so you can fill your cup with the most-satisfying brew 😌☕
https://t.co/xyHrTYPNI5",1776750482918457778,2024-04-06T23:15:00.000Z,['1776750482918457778'],5,2,16,0,2,23344
"Deep-fried naan is the star of @maneetchauhan's Indian-inspired Naanzanella Salad: https://t.co/wxfh3pKFRL 👏

Don't miss Maneet on the finale of #TournamentOfChampions, tomorrow @ 8|7c! https://t.co/sRBe4e8iib",1776720284042793064,2024-04-06T21:15:00.000Z,['1776720284042793064'],21,6,110,0,12,29660
"""The crunchwrap is this ooey, gooey mess of awesomeness,"" one customer says. The twist? It's all VEGAN. Find it at @pingalacafe!

Watch #DDD with @GuyFieri TONIGHT at 9|8c and @StreamOnMax: https://t.co/8i77dxpHnc! #StreamOnMax https://t.co/C0FhL34vbY",1776705184535879993,2024-04-06T20:15:00.000Z,['1776705184535879993'],26,8,154,4,30,23693
".@stephanieizard brings this sev press to *every* competition!! Now she's using it to make a taco salad in honor of this #TournamentOfChampions moment with @guyfieri.

Don't miss the finale of TOC tomorrow at 8|7c!

Get the recipe: https://t.co/24gcRWG9K9 https://t.co/7uftKlJL40",1776690085020553455,2024-04-06T19:15:00.000Z,['1776690085020553455'],18,15,142,1,15,28276
"With multiple layers, pastel colors and edible gold dust, this Water Lily Cake is a work of art! 🎨

Tune in to #SpringBakingChampionship, Mondays @ 8|7c!

🎥: sugar_monsterr on IG https://t.co/JLeR94gjz8",1776674985681272927,2024-04-06T18:15:00.000Z,['1776674985681272927'],26,4,205,3,8,31298
"If you insist 😅🥂

Catch @chefadjepong, @aartipaarti, @weelicious + @chefdphillips on an all-new episode of #WildcardKitchen &gt; Tuesday @ 9|8c! https://t.co/6SO1SqUzIE",1776667436001182155,2024-04-06T17:45:00.000Z,['1776667436001182155'],2,2,70,0,1,20128
"This regular-looking house in the front is actually dishing out Michelin star-worthy dishes in the back 😲🍽️ Find it at Feast Food Company!

Watch #DDD with @guyfieri Fridays at 9|8c and @StreamOnMax: https://t.co/oNM7zK6wVZ! #StreamOnMax 

Get the recipe: https://t.co/j4zDWdWyNa https://t.co/QPStk0b6mT",1776659886169788562,2024-04-06T17:15:00.000Z,['1776659886169788562'],17,1,77,0,7,17632
"Recipe of the Day: The Best Tiramisu ☕🍫
https://t.co/fXKRjXBGTN",1776644786478530574,2024-04-06T16:15:00.000Z,['1776644786478530574'],11,2,32,0,7,19257
"It all comes down to this 🔥 TOC V started with 32 chefs, and after a marathon of battles, we're down to the final four. Tune in to #TournamentOfChampions on Sunday @ 8|7c to see who is crowned the champion 🏆 https://t.co/qpwa5h8SsJ",1776625923732767184,2024-04-06T15:00:02.000Z,['1776625923732767184'],15,4,117,2,3,19639
"The buttery flakiness of a toasted croissant + a creamy, hearty filling = a perfect comfort food for lunch! 😍 Try @jeffmauro’s Famous Chicken Salad Sandwich on #TheKitchen, NEXT @ 11a|10c!  

Get the recipe: https://t.co/UUIdZ6mxG3 https://t.co/Ur0TxT4Jz8",1776622137400279262,2024-04-06T14:45:00.000Z,['1776622137400279262'],14,3,61,1,9,17591
"📍 Munchies: New York-style sandwiches + Philly subs 😍
📍 @prime16newhaven: Gourmet burgers featuring brioche buns + prime beef 🍔
📍 Haven Hot Chicken: Classic chicken sandwiches + sides, known to transport you to Nashville 🔥

Series premiere of #BestBiteInTown &gt; Friday @ 9|8c https://t.co/KIhz5AbWqA",1776614587397459973,2024-04-06T14:15:00.000Z,['1776614587397459973'],2,5,42,1,9,17168
NEXT @ 10a|9c! @ThePioneerWoman’s Croissant Breakfast Sandwiches are perfect to freeze and save for busy mornings when you need a grab-and-go option: https://t.co/waUnVZTD9i 😋 https://t.co/JLb07fr0ZR,1776607038136791478,2024-04-06T13:45:00.000Z,['1776607038136791478'],10,1,42,0,4,17295
"And then there were four 🔥

After 8 weeks of epic battles and unbelievable upsets, the field has narrowed to @chefantonia, @chef_rescigno, @jettila + @maneetchauhan. One of them will be crowned the TOC V champion on Sunday @ 8|7c 🏆 https://t.co/dxLxyqa13f",1776603263196185080,2024-04-06T13:30:00.000Z,['1776603263196185080'],15,17,206,3,3,22795
"We don't know how OD Urla gets their famous sashimi this paper thin, but we're in absolute awe! (📍 Izmir, Turkiye) #FoodNetworkFinds https://t.co/Pxi6tm9qRA",1776599488297382012,2024-04-06T13:15:00.000Z,['1776599488297382012'],9,3,81,2,8,52531
"WWYDWTC: What would you do with these cards? @chefadjepong deals out two lovely community cards: a burger in 35 minutes! 😋🍔 Easy, right?? Maybe not!

Action goes to @weelicious. Find out what her next move is during the all-new episode of #WildcardKitchen, Tuesday @ 9|8c. https://t.co/DXZOBbdjSt",1776584389062762589,2024-04-06T12:15:00.000Z,['1776584389062762589'],7,2,70,0,1,22303
